# english|simplified|source
threat intelligence|威胁情报|NIST
threat model|威胁模型|NIST
throttle|节流|MDN
throughput|吞吐量|CORE
time complexity|时间复杂度|CORE
time series database|时序数据库|DATA
timeout|超时|CORE
tls|传输层安全协议|MDN
token|词元|PY
toleration|容忍|K8S
topological sort|拓扑排序|DSA
traceback|回溯信息|PY
traffic shaping|流量整形|CNCF
training|训练|NIST-AI
training data|训练数据|NIST-AI
transaction|事务|CORE
transaction isolation|事务隔离|DATA
transformer model|Transformer 模型|NIST-AI
transparency|透明度|NIST-AI
transport encryption|传输加密|NIST
transport layer|传输层|IETF
transport layer security|传输层安全协议|MDN
transport protocol|传输协议|IETF
traversal|遍历|CORE
trie tree|字典树|DSA
trigger|触发器|CORE
trunk based development|主干开发|DEVOPS
trust|信任|NIST
trust boundary|信任边界|NIST
trusted execution environment|可信执行环境|HW
trustworthy AI|可信人工智能|NIST-AI
tuple|元组|PY
two pointers|双指针|DSA
type|类型|PY
type annotation|类型注解|PY
type checking|类型检查|CORE
type erasure|类型擦除|CORE
type inference|类型推断|CORE
type safety|类型安全|CORE
uart|通用异步收发器|HW
udp|用户数据报协议|IETF
underflow|下溢|CORE
unicast|单播|IETF
union find|并查集|DSA
unit test|单元测试|CORE
unsupervised learning|无监督学习|NIST-AI
upstream|上游|GH
uri|统一资源标识符|MDN
url|统一资源定位符|MDN
user agent|用户代理|MDN
user mode|用户态|OS
validation|校验|CORE
variable|变量|PY
variadic argument|可变参数|PY
vector|向量|NIST-AI
vector database|向量数据库|NIST-AI
version|版本|GH
version control|版本控制|GH
version pinning|版本锁定|DEVOPS
vertex|顶点|DSA
vertical pod autoscaler|Pod 垂直自动伸缩器|K8S
viewport|视口|MDN
virtual environment|虚拟环境|PY
virtual file system|虚拟文件系统|OS
virtual memory|虚拟内存|HW
virtual private network|虚拟专用网络|IETF
virtualization|虚拟化|CNCF
visibility|可见性|CORE
vision language model|视觉语言模型|NIST-AI
volume|卷|K8S
volume mount|卷挂载|K8S
vpn|虚拟专用网络|IETF
vulnerability|漏洞|NIST
vulnerability assessment|漏洞评估|NIST
vulnerability management|漏洞管理|NIST
warehouse|仓库|DATA
watchdog|看门狗|HW
web application|Web 应用|MDN
web component|Web 组件|MDN
web performance|Web 性能|MDN
web standard|Web 标准|MDN
webassembly|WebAssembly|MDN
webhook|Webhook|GH
websocket|WebSocket|MDN
webworker|Web Worker|MDN
weight|权重|DSA
wheel distribution|Wheel 分发包|PY
widget|小组件|MDN
worker|工作线程|MDN
workflow|工作流|GH
workflow run|工作流运行|GH
working tree|工作树|GH
workload|工作负载|CORE
worst case|最坏情况|CORE
write ahead log|预写日志|DATA
xml|XML|MDN
zero downtime deployment|零停机部署|CNCF
zero round trip time|零往返时间|IETF
zero trust|零信任|NIST
zombie process|僵尸进程|OS
